name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
TF19,misc_big,317955,4370452,8.36433,4.74804,8.36433,5.73330,4.36744,3.86694,4.36744,3.85947,8.59223,7.53691,8.59223,7.29722,4.59690,4.59674,4.59690,4.59673
thermomech-dK,misc_big,204316,1320956,1.08045,1.04519,1.08045,1.04457,1.05757,1.04632,1.05757,1.04616,1.96384,1.38645,1.96384,1.41002,1.05469,1.05231,1.05469,1.05085
tmt-sym,misc_big,726713,2177124,1.02521,1.01815,1.02521,1.01795,1.01845,1.01806,1.01845,1.01806,1.37598,1.30017,1.37598,1.14489,1.02194,1.02065,1.02194,1.01998
tp-6,misc_big,541089,5346690,1.86533,1.29417,1.86533,1.01460,1.01365,1.01345,1.01365,1.01345,1.44623,1.44617,1.44623,1.44617,2.13372,2.13177,2.13372,2.11861
troll,misc_big,213453,5885829,1.29768,1.13418,1.29768,1.14108,1.16383,1.15054,1.16383,1.15065,1.50114,1.32569,1.50114,1.28161,1.21386,1.21017,1.21386,1.20887
TSOPF-RS-b300-c2,misc_big,28338,2901380,18.19350,13.99500,18.19350,1.66084,1.96265,1.90657,1.96265,1.59533,23.5114,23.4976,23.5114,23.4552,3.80200,3.77243,3.80200,3.64799
web-Google,misc_big,875713,4322051,1.07497,1.04378,1.07497,1.04416,1.06274,1.04172,1.06274,1.04136,1.82178,1.56225,1.82178,1.51682,1.12976,1.12729,1.12976,1.12070
webbase-1M,misc_big,997552,2004965,1.06738,1.01510,1.06738,1.01424,1.01713,1.01127,1.01713,1.01102,1.10631,1.06251,1.10631,1.05828,1.03160,1.03033,1.03160,1.02849
144,misc,144649,1074393,1.27611,1.16049,1.27611,1.15944,1.28341,1.18003,1.28341,1.17732,4.90004,3.80606,4.90004,3.60654,1.19420,1.19227,1.19420,1.19136
162bit,misc,3606,37069,8.19551,4.99445,8.19551,4.81725,6.51722,5.48611,6.51722,5.47366,7.02357,5.98419,7.02357,6.10982,4.74099,4.72875,4.74099,4.72074
176bit,misc,7441,82204,8.49469,4.92367,8.49469,4.77436,6.45762,5.39801,6.45762,5.39499,6.8269,5.7968,6.8269,5.96828,4.61228,4.60933,4.61228,4.60865
192bit,misc,13691,154235,8.26338,4.71361,8.26338,4.54846,6.18213,5.12563,6.18213,5.12980,6.43591,5.46585,6.43591,5.6497,4.39822,4.39646,4.39822,4.39595
208bit,misc,24430,299684,8.70929,4.71392,8.70929,4.54151,6.18455,5.05073,6.18455,5.05378,6.37818,5.36995,6.37818,5.60958,4.35366,4.35276,4.35366,4.35264
2cubes-sphere,misc,101492,772886,1.87594,1.23016,1.87594,1.21764,1.37773,1.28043,1.37773,1.27945,2.8071,2.3526,2.8071,2.3668,1.27800,1.27577,1.27800,1.27515
2D-27628-bjtcai,misc,27628,207723,1.28634,1.15014,1.28634,1.14981,1.17515,1.16252,1.17515,1.16230,1.46084,1.37031,1.46084,1.34031,1.16538,1.15926,1.16538,1.15890
2D-54019-highK,misc,54019,472098,1.22361,1.10913,1.22361,1.11052,1.14691,1.13475,1.14691,1.13447,1.58628,1.39008,1.58628,1.36369,1.12285,1.11827,1.12285,1.11429
3D-28984-Tetra,misc,28984,288684,1.84264,1.41554,1.84264,1.37714,1.52312,1.42555,1.52312,1.42558,2.22395,2.05855,2.22395,2.06055,1.36396,1.35907,1.36396,1.35737
3D-51448-3D,misc,36688,334243,1.71835,1.35873,1.71835,1.33728,1.45626,1.36830,1.45626,1.36791,2.04255,1.80274,2.04255,1.81765,1.32109,1.31687,1.32109,1.31452
3dtube,misc,45330,1584144,1.98957,1.41383,1.98957,1.47154,1.67929,1.53446,1.67929,1.53524,2.9563,2.62175,2.9563,2.6101,1.65486,1.64670,1.65486,1.64519
598a,misc,110971,741934,1.27427,1.16129,1.27427,1.15919,1.27441,1.16833,1.27441,1.16572,5.05293,4.09942,5.05293,3.48162,1.18705,1.18561,1.18705,1.18506
a0nsdsil,misc,80016,155013,1.25686,1.15207,1.25686,1.00914,1.00769,1.00689,1.00769,1.00690,1.0062,1.0062,1.0062,1.0062,1.48653,1.47840,1.48653,1.46312
a2nnsnsl,misc,80016,151107,1.24325,1.16161,1.24325,1.01621,1.00800,1.00699,1.00800,1.00699,1.00592,1.00592,1.00592,1.00592,1.46222,1.45389,1.46222,1.43514
a5esindl,misc,60008,110000,1.21382,1.04938,1.21382,1.00228,1.00512,1.00477,1.00512,1.00477,1.00413,1.00413,1.00413,1.00413,1.41849,1.40168,1.41849,1.38697
aa01,misc,8904,72914,3.69969,2.06177,3.69969,2.06301,2.15377,1.95030,2.15377,1.95179,2.83345,2.59996,2.83345,2.59659,2.35602,2.32894,2.35602,2.32188
aa03,misc,8627,70761,3.70534,2.10386,3.70534,2.11707,2.20357,1.99543,2.20357,1.99471,2.80457,2.59047,2.80457,2.59233,2.37719,2.34567,2.37719,2.33986
aa3,misc,8627,70761,3.70534,2.10386,3.70534,2.11707,2.20357,1.99543,2.20357,1.99471,2.80457,2.59047,2.80457,2.59233,2.39573,2.36793,2.39573,2.36641
aa4,misc,7195,52090,3.82835,2.08867,3.82835,2.10896,2.21281,1.98499,2.21281,1.97465,2.36748,2.26796,2.36748,2.26824,2.22613,2.17420,2.22613,2.17345
aa5,misc,8308,65917,3.71509,2.10737,3.71509,2.10664,2.19011,1.97567,2.19011,1.97346,2.76565,2.53226,2.76565,2.54273,2.38565,2.35616,2.38565,2.34591
aa6,misc,7292,51700,3.61999,2.11396,3.61999,2.12452,2.20584,1.98601,2.20584,1.98279,2.61629,2.44268,2.61629,2.44885,2.29896,2.26399,2.29896,2.25855
