name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
mammalia-voles-bhp-trapping,asn,1686,4623,2.20214,1.41044,2.20214,1.41222,1.59244,1.43623,1.59244,1.42534,1.87426,1.58897,1.87426,1.51779,1.45018,1.41993,1.45018,1.41993
mammalia-voles-kcs-trapping,asn,1218,3592,2.42710,1.53941,2.42710,1.50903,1.77673,1.56936,1.77673,1.55345,2.0353,1.73645,2.0353,1.59852,1.54926,1.52217,1.54926,1.50727
mammalia-voles-plj-trapping,asn,1263,3380,2.22122,1.44497,2.22122,1.42993,1.66587,1.45289,1.66587,1.42835,1.83135,1.61995,1.83135,1.50515,1.46081,1.42573,1.46081,1.40855
mammalia-voles-rob-trapping,asn,1480,3935,2.17838,1.42230,2.17838,1.41486,1.59203,1.44247,1.59203,1.43972,1.81824,1.58176,1.81824,1.48041,1.45473,1.42365,1.45473,1.41823
bio-CE-CX,bio,15229,245952,5.74187,3.15543,5.74187,3.01340,5.46167,4.28790,5.46167,4.30049,8.27612,6.10618,8.27612,6.4806,3.23081,3.22797,3.23081,3.22753
bio-CE-GN,bio,2220,53683,12.64280,5.30405,12.64280,5.01622,7.84520,6.52295,7.84520,6.51100,11.9608,9.05,11.9608,9.47973,4.94189,4.90935,4.94189,4.88243
bio-CE-HT,bio,2617,2985,1.18112,1.17654,1.18112,1.17425,1.17654,1.17386,1.17654,1.17348,1.25755,1.21322,1.25755,1.18456,1.19297,1.18456,1.19297,1.17233
bio-CE-LC,bio,1387,1648,1.17880,1.13987,1.17880,1.09373,1.14420,1.12978,1.14420,1.12761,1.19611,1.16871,1.19611,1.15068,1.18745,1.16727,1.18745,1.09056
bio-CE-PG,bio,1871,47754,10.78190,3.97809,10.78190,4.31587,5.47448,4.53412,5.47448,4.52104,8.59433,6.88562,8.59433,6.97862,3.99466,3.85890,3.99466,3.81924
bio-DM-CX,bio,4040,76717,7.97649,3.91163,7.97649,3.74406,6.65945,5.22119,6.65945,5.20932,9.38886,7.01584,9.38886,7.34604,3.90891,3.89257,3.90891,3.89096
bio-DM-HT,bio,2989,4660,1.27936,1.24590,1.27936,1.24423,1.25493,1.24757,1.25493,1.24624,1.41151,1.32285,1.41151,1.27267,1.30244,1.28973,1.30244,1.27823
bio-dmela,bio,7393,25569,2.82727,2.22805,2.82727,2.21331,2.72826,2.38739,2.72826,2.38009,2.8972,2.50156,2.8972,2.51292,2.21466,2.21100,2.21466,2.20574
bio-DR-CX,bio,3289,84940,12.50080,5.52934,12.50080,5.31742,8.29944,6.80444,8.29944,6.79763,11.5214,8.76741,11.5214,9.30313,5.15871,5.12648,5.15871,5.10987
bio-grid-fission-yeast,bio,2026,12637,4.42695,2.45262,4.42695,2.35735,3.28941,2.74685,3.28941,2.74182,3.9077,3.03356,3.9077,3.15153,2.48124,2.43682,2.48124,2.42949
bio-grid-fruitfly,bio,7274,24894,2.78526,2.22257,2.78526,2.19975,2.78205,2.36729,2.78205,2.36658,2.91641,2.53588,2.91641,2.52969,2.19164,2.18779,2.19164,2.18380
bio-grid-human,bio,9436,31182,2.90723,1.78964,2.90723,1.77692,2.20507,1.90865,2.20507,1.90197,2.55362,2.16373,2.55362,2.20729,1.88194,1.87696,1.88194,1.87384
bio-grid-mouse,bio,1450,1636,1.18690,1.09379,1.18690,1.06276,1.14345,1.10552,1.14345,1.10207,1.15793,1.13379,1.15793,1.13034,1.21172,1.18000,1.21172,1.12675
bio-grid-plant,bio,1717,3098,1.82545,1.22656,1.82545,1.21316,1.28480,1.24520,1.28480,1.23762,1.42691,1.29412,1.42691,1.26733,1.31275,1.27143,1.31275,1.22539
bio-grid-worm,bio,3507,6531,2.20522,1.44340,2.20522,1.36213,1.60029,1.46558,1.60029,1.46034,1.56715,1.47391,1.56715,1.47876,1.55432,1.54008,1.55432,1.36983
bio-grid-yeast,bio,6008,156945,13.42060,5.56175,13.42060,5.27297,8.07406,6.76412,8.07406,6.70606,10.6976,8.05443,10.6976,8.73619,5.36285,5.35239,5.36285,5.31308
bio-HS-CX,bio,4413,108818,9.75640,4.43508,9.75640,4.09223,7.21247,5.86090,7.21247,5.85026,10.5939,7.80807,10.5939,8.33129,4.27895,4.26807,4.27895,4.25645
bio-HS-HT,bio,2570,13691,3.15681,2.15603,3.15681,2.17121,2.86564,2.37458,2.86564,2.36386,3.34942,2.67704,3.34942,2.69455,2.20661,2.17782,2.20661,2.16920
bio-HS-LC,bio,4227,39484,4.89804,2.76248,4.89804,2.74710,4.21391,3.24508,4.21391,3.24170,4.73125,3.70263,4.73125,3.89165,2.83960,2.80861,2.83960,2.79723
bio-SC-CC,bio,2223,34879,7.53621,3.51102,7.53621,3.42150,5.83334,4.54205,5.83334,4.52324,6.83131,5.33333,6.83131,5.40396,3.46964,3.40981,3.46964,3.40331
bio-SC-GT,bio,1716,33987,9.10839,4.14394,9.10839,3.99126,6.54904,5.13269,6.54904,5.11843,9.51515,7.51166,9.51515,7.58683,3.91667,3.85114,3.91667,3.78030
bio-SC-HT,bio,2084,63027,13.47840,5.22121,13.47840,5.41171,7.41953,6.14545,7.41953,6.12049,11.0528,8.65019,11.0528,9.22313,4.59693,4.52639,4.59693,4.51741
bio-SC-LC,bio,2004,20452,5.89870,3.32236,5.89870,3.32435,4.89266,3.86521,4.89266,3.87336,6.19611,4.97255,6.19611,4.9995,3.34930,3.30739,3.34930,3.27099
bio-WormNet-v3-benchmark,bio,2445,78736,5.39468,2.46667,5.39468,2.60859,2.90478,2.38626,2.90478,2.37041,3.57382,3.22618,3.57382,2.60695,2.83926,2.63691,2.83926,2.62454
bio-WormNet-v3,bio,16347,762822,14.60240,5.49991,14.60240,5.09396,7.94665,6.79782,7.94665,6.78271,12.0096,8.8905,12.0096,10.2436,4.68233,4.67749,4.68233,4.67601
bio-yeast-protein-inter,bio,1870,2203,1.20000,1.17380,1.20000,1.16364,0.98717,0.98717,0.98717,0.98717,1.25348,1.20588,1.25348,1.18182,1.19733,1.17647,1.19733,1.16071
bio-yeast,bio,1458,1948,1.29012,1.24966,1.29012,1.24005,1.30864,1.25583,1.30864,1.24966,1.36557,1.30864,1.36557,1.25377,1.28464,1.25988,1.28464,1.22428
ca-aminer,ca,1056941,3929876,2.13507,1.31604,2.13507,1.41891,1.73555,1.48221,1.73555,1.51729,1.92907,1.67456,1.92907,1.63907,1.39698,1.39588,1.39698,1.39452
ca-AstroPh,ca,17903,196972,3.69636,2.00056,3.69636,1.90599,4.39424,3.26878,4.39424,3.19701,4.64788,3.31408,4.64788,3.32525,1.99201,1.98419,1.99201,1.98181
ca-cit-HepPh,ca,28093,3148447,18.85780,14.50600,18.85780,4.55658,8.24433,8.00877,8.24433,6.74228,15.0063,14.0165,15.0063,13.5822,3.77713,3.77713,3.77713,3.76980
ca-cit-HepTh,ca,22908,2444798,22.28018,17.13860,22.28018,6.44382,7.86276,7.63811,7.86276,6.40853,12.418,12.012,12.418,11.1799,3.82417,3.82417,3.82417,3.81732
ca-citeseer,ca,227320,814134,1.26971,1.13171,1.26971,1.13012,1.20576,1.13324,1.20576,1.13282,1.46676,1.22985,1.46676,1.22374,1.16539,1.16254,1.16539,1.15917
ca-CondMat,ca,21363,91286,1.87226,1.41633,1.87226,1.39859,1.97393,1.53850,1.97393,1.52956,2.17048,1.60652,2.17048,1.64256,1.45846,1.45292,1.45846,1.44792
ca-GrQc,ca,4158,13422,1.99315,1.31049,1.99315,1.31265,1.49687,1.35113,1.49687,1.34295,1.61664,1.39683,1.61664,1.367,1.36556,1.31049,1.36556,1.23426
ca-IMDB,ca,896305,3782447,2.24374,1.70038,2.24374,1.81427,2.17079,1.88494,2.17079,1.91942,3.15012,2.82903,3.15012,2.78824,1.84169,1.84041,1.84169,1.83680
ca-MathSciNet,ca,332689,820644,1.79473,1.24126,1.79473,1.23701,1.37169,1.25007,1.37169,1.24938,1.71087,1.48971,1.71087,1.47402,1.32676,1.32533,1.32676,1.32147
cit-DBLP,cit,12591,49620,2.28616,1.68017,2.28616,1.65666,2.20944,1.83433,2.20944,1.83552,2.88897,2.41498,2.88897,2.44214,1.79930,1.79456,1.79930,1.78834
cit-HepPh,cit,28093,3148447,18.82530,14.48100,18.82530,5.02609,8.22781,7.99273,8.22781,6.65340,15.0046,14.4901,15.0046,13.5426,3.69444,3.69444,3.69444,3.68945
cit-HepTh,cit,22908,2444798,22.33829,17.18330,22.33829,5.64087,7.52179,7.30688,7.52179,6.13265,12.4264,11.4587,12.4264,11.2373,3.84665,3.84665,3.84665,3.83312
144,dimacs10,144649,1074393,1.27611,1.16049,1.27611,1.15944,1.28341,1.18003,1.28341,1.17732,4.90004,3.79566,4.90004,3.60654,1.19528,1.19404,1.19528,1.19339
598a,dimacs10,110971,741934,1.27427,1.16129,1.27427,1.15919,1.27441,1.16833,1.27441,1.16571,5.05293,4.04988,5.05293,3.47976,1.18713,1.18541,1.18713,1.18375
auto,dimacs10,448695,3314611,1.18935,1.11163,1.18935,1.11106,1.18405,1.12195,1.18405,1.12040,4.69183,4.00538,4.69183,3.43415,1.14279,1.14086,1.14279,1.13863
coAuthorsCiteseer,dimacs10,227320,814134,1.26971,1.13171,1.26971,1.13012,1.20576,1.13324,1.20576,1.13282,1.46676,1.22979,1.46676,1.22381,1.16566,1.16289,1.16566,1.16000
cs4,dimacs10,22499,43858,1.19872,1.18405,1.19872,1.18410,1.19645,1.18427,1.19645,1.18427,1.99791,1.4574,1.99791,1.4098,1.21894,1.21841,1.21894,1.21561
cti,dimacs10,16840,48232,1.77391,1.31776,1.77391,1.31770,1.34139,1.30849,1.34139,1.30819,1.74192,1.57714,1.74192,1.60659,1.28789,1.28759,1.28789,1.28611
delaunay-n10,dimacs10,1024,3056,2.20137,1.46387,2.20137,1.45703,1.68779,1.48418,1.68779,1.47920,2.00586,1.84277,2.00586,1.58301,1.47461,1.46081,1.47461,1.45117
delaunay-n11,dimacs10,2048,6127,1.89287,1.31396,1.89287,1.30762,1.38867,1.32275,1.38867,1.32080,1.80713,1.6001,1.80713,1.41309,1.32471,1.32226,1.32471,1.31299
delaunay-n12,dimacs10,4096,12264,1.70561,1.21265,1.70561,1.20776,1.27100,1.22070,1.27100,1.21924,1.6731,1.47998,1.6731,1.31226,1.22314,1.21948,1.22314,1.21460
delaunay-n13,dimacs10,8192,24547,1.21802,1.15613,1.21802,1.15161,1.18677,1.15564,1.18677,1.15515,1.60229,1.39282,1.60229,1.2804,1.16394,1.15930,1.16394,1.15625
delaunay-n14,dimacs10,16384,49122,1.15015,1.10449,1.15015,1.10217,1.12531,1.10504,1.12531,1.10492,1.56604,1.25873,1.56604,1.24982,1.12585,1.12229,1.12585,1.12030
delaunay-n15,dimacs10,32768,98274,1.10483,1.07379,1.10483,1.07196,1.09354,1.07959,1.09354,1.07935,1.50851,1.22223,1.50851,1.21451,1.09158,1.08902,1.09158,1.08627
delaunay-n16,dimacs10,65536,196575,1.07695,1.05342,1.07695,1.05212,1.06502,1.05513,1.06502,1.05495,1.46774,1.1774,1.46774,1.1768,1.06801,1.06482,1.06801,1.06379
delaunay-n17,dimacs10,131072,393176,1.05334,1.03723,1.05334,1.03619,1.04533,1.03891,1.04533,1.03880,1.44607,1.12678,1.44607,1.15369,1.04977,1.04788,1.04977,1.04666
delaunay-n18,dimacs10,262144,786396,1.03814,1.02650,1.03814,1.02596,1.03186,1.02716,1.03186,1.02707,1.43103,1.11354,1.43103,1.14352,1.03710,1.03509,1.03710,1.03381
delaunay-n19,dimacs10,524288,1572823,1.02672,1.01872,1.02672,1.01817,1.02269,1.01945,1.02269,1.01939,1.4118,1.098,1.4118,1.13811,1.02847,1.02678,1.02847,1.02533
delaunay-n20,dimacs10,1048576,3145686,1.01848,1.01299,1.01848,1.01272,1.01636,1.01393,1.01636,1.01389,1.39807,1.19966,1.39807,1.12817,1.02174,1.02012,1.02174,1.01927
fe-4elt2,dimacs10,11143,32818,1.17886,1.12654,1.17886,1.12573,1.18272,1.14754,1.18272,1.14727,1.75527,1.4961,1.75527,1.49601,1.15382,1.15131,1.15382,1.14849
fe-ocean,dimacs10,143437,409593,1.14658,1.12933,1.14658,1.12919,1.13426,1.12741,1.13426,1.12739,2.01541,1.68061,2.01541,1.71992,1.12161,1.12095,1.12161,1.11947
fe-rotor,dimacs10,99617,662431,1.25527,1.14267,1.25527,1.13753,1.23566,1.16547,1.23566,1.16360,2.96094,2.51364,2.96094,2.18811,1.16157,1.16028,1.16157,1.15992
fe-sphere,dimacs10,16386,49152,1.18101,1.13231,1.18101,1.13029,1.17954,1.15336,1.17954,1.15275,1.66825,1.66575,1.66825,1.66551,1.14464,1.14335,1.14464,1.13694
fe-tooth,dimacs10,78136,452591,1.25431,1.14582,1.25431,1.14390,1.20267,1.15046,1.20267,1.14969,2.80275,2.14662,2.80275,2.08842,1.16256,1.16187,1.16256,1.16137
inf-belgium-osm,dimacs10,1441295,1549970,1.00127,1.00126,1.00127,1.00126,1.00125,1.00124,1.00125,1.00124,1.04223,1.01936,1.04223,1.00771,1.00759,1.00651,1.00759,1.00481
inf-luxembourg-osm,dimacs10,114599,119666,1.00401,1.00401,1.00401,1.00401,1.00390,1.00388,1.00390,1.00387,1.03828,1.01709,1.03828,1.0112,1.01102,1.00959,1.01102,1.00788
m14b,dimacs10,214765,1679018,1.21853,1.12546,1.21853,1.12505,1.22056,1.14824,1.22056,1.14611,4.64051,3.62039,4.64051,3.45082,1.16873,1.16776,1.16873,1.16605
rgg-n-2-15-s0,dimacs10,32768,160240,1.09210,1.06049,1.09210,1.05933,0.99994,0.99994,0.99994,0.99994,2.25635,1.8898,2.25635,1.63934,1.10684,1.09924,1.10684,1.09378
rgg-n-2-16-s0,dimacs10,65536,342127,1.06892,1.04407,1.06892,1.04347,0.99994,0.99994,0.99994,0.99994,2.32974,1.80812,2.32974,1.6718,1.08954,1.08415,1.08954,1.07821
rgg-n-2-17-s0,dimacs10,131072,728753,1.05478,1.03447,1.05478,1.03397,0.99999,0.99999,0.99999,0.99999,2.41113,1.94049,2.41113,1.75195,1.07444,1.06965,1.07444,1.06245
rgg-n-2-18-s0,dimacs10,262144,1547283,1.04156,1.02602,1.04156,1.02548,0.99999,0.99999,0.99999,0.99999,2.52324,1.85283,2.52324,1.84639,1.06097,1.05576,1.06097,1.04943
rgg-n-2-19-s0,dimacs10,524288,3269766,1.03103,1.01928,1.03103,1.01897,0.99999,0.99999,0.99999,0.99999,2.60299,2.12848,2.60299,1.87675,1.05269,1.04802,1.05269,1.04127
t60k,dimacs10,60005,89440,1.04083,1.04070,1.04083,1.04070,1.04175,1.04156,1.04175,1.04156,1.07934,1.06958,1.07934,1.06663,1.05058,1.05009,1.05058,1.05001
tech-caidaRouterLevel,dimacs10,192244,609066,1.69501,1.16299,1.69501,1.15697,1.31182,1.19787,1.31182,1.18743,1.75199,1.4526,1.75199,1.452,1.23508,1.23195,1.23508,1.22531
wing-nodal,dimacs10,10937,75488,2.36608,1.45625,2.36608,1.45122,1.91716,1.60903,1.91716,1.58480,5.5742,3.69909,5.5742,3.69855,1.48761,1.48432,1.48761,1.48430
wing,dimacs10,62032,121544,1.13965,1.12926,1.13965,1.12926,1.13990,1.12863,1.13990,1.12856,1.95833,1.43181,1.95833,1.37574,1.16358,1.16277,1.16358,1.15900
email-dnc,email,1891,4384,1.98096,1.39820,1.98096,1.28926,0.98678,0.98678,0.98678,0.98678,1.7377,1.51983,1.7377,1.52565,1.73612,1.52976,1.73612,1.51348
email-enron-large,email,33696,180811,2.37803,1.49196,2.37803,1.47127,2.07591,1.71980,2.07591,1.70411,2.2879,1.8617,2.2879,1.97611,1.56933,1.56709,1.56933,1.55722
email-EU,email,32430,54397,1.79291,1.17367,1.79291,1.17216,1.28893,1.21452,1.28893,1.21388,1.27,1.20833,1.27,1.21274,1.19661,1.19301,1.19661,1.19260
email-univ,email,1133,5451,3.40600,2.52515,3.40600,2.48367,3.25565,2.72240,3.25565,2.70440,3.9947,3.37423,3.9947,3.19417,2.51103,2.49156,2.51103,2.47838
graph500-scale18-ef16-adj,graph500,174147,3800348,9.21813,4.14311,9.21813,3.44087,5.54510,4.50636,5.54510,4.32746,4.38756,3.46035,4.38756,3.87845,2.94855,2.94836,2.94855,2.92926
graph500-scale19-ef16-adj,graph500,335318,7729675,9.15116,6.35277,9.15116,4.82419,5.50542,4.37162,5.50542,4.22068,4.21388,3.5428,4.21388,3.8339,2.84283,2.84256,2.84283,2.82929
actor,heter,383641,383640,1.00016,1.00016,1.00016,1.00000,1.00016,1.00016,1.00016,1.00016,1.00016,1.00016,1.00016,1.00016,1.00000,1.00000,1.00000,1.00000
bibsonomy,heter,210468,210467,1.00030,1.00030,1.00030,1.00000,1.00030,1.00030,1.00030,1.00030,1.00029,1.00029,1.00029,1.00029,1.00000,1.00000,1.00000,1.00000
citeulike-u2p-u2t,heter,22715,22714,1.00277,1.00277,1.00277,1.00009,1.00277,1.00277,1.00277,1.00277,1.00273,1.00273,1.00273,1.00273,1.00000,1.00000,1.00000,1.00000
dbpedia,heter,495936,921710,1.91052,1.18906,1.91052,1.16603,1.25476,1.17932,1.25476,1.17964,1.11212,1.10917,1.11212,1.10919,1.16675,1.16082,1.16675,1.15975
digg,heter,166633,166632,1.00038,1.00038,1.00038,1.00001,1.00038,1.00038,1.00038,1.00038,1.00037,1.00037,1.00037,1.00037,1.00000,1.00000,1.00000,1.00000
epinions,heter,127403,127402,1.00049,1.00049,1.00049,1.00001,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00000,1.00000,1.00000,1.00000
movielens-10m-noRatings,heter,20538,20537,1.00307,1.00307,1.00307,1.00005,1.00307,1.00307,1.00307,1.00307,1.00302,1.00302,1.00302,1.00302,1.00000,1.00000,1.00000,1.00000
movielens-10m,heter,86407,86406,1.00073,1.00073,1.00073,1.00001,1.00073,1.00073,1.00073,1.00073,1.00072,1.00072,1.00072,1.00072,1.00000,1.00000,1.00000,1.00000
visualize-us,heter,99158,99157,1.00064,1.00064,1.00064,1.00001,1.00064,1.00064,1.00064,1.00064,1.00063,1.00063,1.00063,1.00063,1.00000,1.00000,1.00000,1.00000
yahoo-msg,heter,99305,99304,1.00063,1.00063,1.00063,1.00001,1.00063,1.00063,1.00063,1.00063,1.00062,1.00062,1.00062,1.00062,1.00000,1.00000,1.00000,1.00000
ia-dbpedia-team-bi,ia,365492,780132,1.77844,1.15203,1.77844,1.14994,1.25371,1.18991,1.25371,1.19045,1.31333,1.3052,1.31333,1.30491,1.24302,1.24093,1.24302,1.23748
ia-email-EU,ia,32430,54397,1.78697,1.17179,1.78697,1.17049,1.36529,1.24888,1.36529,1.24334,1.26716,1.20567,1.26716,1.21051,1.19362,1.19013,1.19362,1.18886
ia-email-univ,ia,1133,5451,3.43866,2.53045,3.43866,2.49779,3.27697,2.70440,3.27697,2.67198,3.9947,3.36187,3.9947,3.15534,2.52074,2.49162,2.52074,2.48880
ia-enron-large,ia,33696,180811,2.37803,1.49196,2.37803,1.47127,2.07591,1.71980,2.07591,1.70411,2.2879,1.8617,2.2879,1.97611,1.54274,1.53793,1.54274,1.53312
ia-escorts-dynamic,ia,10106,39016,2.98971,2.27063,2.98971,2.24718,2.97587,2.41092,2.97587,2.40476,3.11924,2.69117,3.11924,2.74461,2.33366,2.33109,2.33366,2.32848
ia-fb-messages,ia,1266,6451,4.47077,3.11848,4.47077,3.07899,4.13282,3.49588,4.13282,3.46526,4.33175,3.67536,4.33175,3.65008,3.05766,3.03633,3.05766,3.01873
ia-frwikinews-user-edits,ia,25042,68675,2.00599,1.16987,2.00599,1.06749,1.18441,1.13637,1.18441,1.13577,1.10582,1.09528,1.10582,1.09524,2.34893,2.29031,2.34893,1.93032
ia-reality,ia,6809,7680,1.12014,1.07989,1.12014,1.06873,1.08107,1.06859,1.08107,1.06770,1.09311,1.08048,1.09311,1.08092,1.09164,1.08296,1.09164,1.07740
ia-wiki-Talk,ia,92117,360767,2.61457,1.72055,2.61457,1.69934,2.22057,1.91806,2.22057,1.89526,2.16407,1.82306,2.16407,1.92062,1.70834,1.70774,1.70834,1.70735
ia-wiki-trust-dir,ia,138592,715883,2.38820,1.44318,2.38820,1.42752,0.99996,0.99996,0.99996,0.99996,2.17303,1.76875,2.17303,1.89272,1.49338,1.49240,1.49338,1.49219
ia-wikiquote-user-edits,ia,93445,238421,1.86496,1.25646,1.86496,1.23102,1.44979,1.29414,1.44979,1.29500,1.27915,1.22153,1.27915,1.2252,1.71044,1.67826,1.71044,1.65172
power-US-Grid,power,4941,6594,1.09229,1.07913,1.09229,1.07873,1.08419,1.07529,1.08419,1.07549,1.17972,1.11172,1.17972,1.10079,1.10868,1.10341,1.10868,1.09634
rec-amazon,rec,91813,125704,1.00631,1.00621,1.00631,1.00621,1.00625,1.00613,1.00625,1.00611,1.06966,1.02343,1.06966,1.01097,1.01790,1.01443,1.01790,1.01139
rec-amz-Amazon-Instant-Video,rec,11707,37017,2.28240,1.29751,2.28240,1.20501,2.17731,1.42810,2.17731,1.43568,1.36158,1.29341,1.36158,1.30298,2.25079,1.99485,2.25079,1.86393
rec-amz-Automotive,rec,18488,62905,2.33746,1.26985,2.33746,1.17812,2.24250,1.39517,2.24250,1.39108,1.30344,1.24475,1.30344,1.2573,2.25763,1.92492,2.25763,1.90881
rec-amz-Baby,rec,13481,44644,2.33187,1.27810,2.33187,1.20184,2.24674,1.42994,2.24674,1.43364,1.34975,1.28685,1.34975,1.30005,2.17276,2.00820,2.17276,1.99318
rec-amz-Beauty,rec,23161,82265,2.37239,1.25565,2.37239,1.17849,2.28855,1.38733,2.28855,1.38588,1.28647,1.23466,1.28647,1.24369,2.34666,2.09011,2.34666,2.00581
rec-amz-CDs-and-Vinyl,rec,26974,103179,2.46052,1.25365,2.46052,1.23652,2.41421,1.39958,2.41421,1.39429,1.29388,1.24001,1.29388,1.24301,2.40183,2.15677,2.40183,2.00864
rec-amz-Cell-Phones-and-Acc,rec,35676,129579,2.32683,1.21583,2.32683,1.23660,2.28622,1.35134,2.28622,1.35111,1.24919,1.19702,1.24919,1.20159,2.29042,2.07610,2.29042,2.06875
rec-amz-Clothing-Shoes-Jewelry,rec,43807,164943,2.36720,1.23250,2.36720,1.21474,2.33779,1.33794,2.33779,1.33580,1.24665,1.1854,1.24665,1.18812,2.31495,2.04329,2.31495,2.01338
rec-amz-Digital-Music,rec,12539,40793,2.31573,1.30513,2.31573,1.25776,2.21908,1.44064,2.21908,1.44162,1.36375,1.29285,1.36375,1.30529,2.26725,2.07656,2.26725,2.05609
rec-amz-Grocery-Gourmet-Food,rec,16698,57762,2.38178,1.28614,2.38178,1.22602,2.29531,1.41828,2.29531,1.42365,1.32477,1.26398,1.32477,1.27494,2.36124,2.09162,2.36124,1.92155
rec-amz-Health-Personal-Care,rec,29650,111504,2.42371,1.24506,2.42371,1.22654,2.36493,1.39033,2.36493,1.38637,1.27417,1.22223,1.27417,1.22533,2.42091,2.21074,2.42091,2.16664
rec-amz-Home-and-Kitchen,rec,36047,138457,2.44481,1.26474,2.44481,1.21278,2.39243,1.38329,2.39243,1.37775,1.26635,1.20898,1.26635,1.21158,2.36330,2.07164,2.36330,2.20942
rec-amz-Movies-and-TV,rec,43818,171044,2.48062,1.24127,2.48062,1.22142,2.33023,1.34883,2.33023,1.34957,1.24807,1.20005,1.24807,1.20001,2.54357,2.35864,2.54357,2.12531
rec-amz-Musical-Instruments,rec,10317,32202,2.28923,1.32287,2.28923,1.26413,2.17979,1.44858,2.17979,1.45372,1.38596,1.31976,1.38596,1.32694,2.20607,2.04818,2.20607,1.85451
rec-amz-Office-Products,rec,19011,65067,2.33838,1.27295,2.33838,1.19105,2.24929,1.39933,2.24929,1.40265,1.30472,1.2487,1.30472,1.26069,2.25448,2.09238,2.25448,2.00368
rec-amz-Patio-Lawn-Garden,rec,16269,54387,2.32264,1.27894,2.32264,1.23486,2.23715,1.41104,2.23715,1.40833,1.31747,1.25816,1.31747,1.26892,2.28262,2.01720,2.28262,2.00184
rec-amz-Pet-Supplies,rec,16583,57101,2.35916,1.26901,2.35916,1.22415,2.27437,1.40991,2.27437,1.41224,1.33076,1.26684,1.33076,1.28517,2.28294,2.04601,2.28294,2.01634
rec-amz-Sports-and-Outdoors,rec,31316,118283,2.42244,1.25224,2.42244,1.23218,2.37092,1.38258,2.37092,1.37676,1.27507,1.21931,1.27507,1.22369,2.42572,2.34640,2.42572,2.09400
rec-amz-Tools-Home-Improve,rec,22625,81931,2.40119,1.25865,2.40119,1.25587,2.33223,1.39703,2.33223,1.39216,1.29967,1.24407,1.29967,1.25154,2.39010,2.07859,2.39010,2.01711
rec-amz-Toys-and-Games,rec,25085,90270,2.39350,1.26374,2.39350,1.22739,2.31134,1.37461,2.31134,1.37091,1.28316,1.23325,1.28316,1.23727,2.35097,2.22855,2.35097,2.17194
rec-amz-Video-Games,rec,18207,62132,2.33976,1.27050,2.33976,1.17724,2.24452,1.40252,2.24452,1.40425,1.31054,1.25452,1.31054,1.26704,2.31883,2.04081,2.31883,1.98909
rec-eachmovie,rec,61989,2811458,15.12590,2.43446,15.12590,4.96974,2.18878,2.00918,2.18878,1.98966,1.95911,1.79637,1.95911,1.88569,3.79606,3.71105,3.79606,3.66271
rec-github,rec,121706,439849,2.53309,1.73341,2.53309,1.71562,2.20572,1.91963,2.20572,1.89899,2.15562,1.85178,2.15562,1.93516,1.71153,1.71061,1.71153,1.70709
rec-movielens-tag-movies-10m,rec,16528,71067,3.37427,2.29108,3.37427,2.26422,3.02523,2.49248,3.02523,2.48736,3.0527,2.59802,3.0527,2.66463,2.25889,2.25617,2.25889,2.24556
rec-movielens-user-movies-10m,rec,7601,55384,5.12064,2.75464,5.12064,2.64728,3.83697,3.01316,3.83697,3.01492,3.48125,2.90764,3.48125,3.06999,2.84765,2.83949,2.84765,2.83678
rec-movielens,rec,70155,9991339,36.15521,27.81170,36.15521,17.03320,5.02090,4.87745,5.02090,4.37545,6.8712,6.8712,6.8712,6.69081,4.29918,4.29918,4.29918,4.28842
rec-yelp-user-business,rec,50394,229572,3.34893,2.09233,3.34893,2.07211,2.74806,2.37979,2.74806,2.33806,2.69506,2.25592,2.69506,2.39485,2.08110,2.08003,2.08110,2.07983
road-belgium-osm,road,1441295,1549970,1.00127,1.00126,1.00127,1.00126,1.00125,1.00124,1.00125,1.00124,1.04223,1.01968,1.04223,1.00773,1.00762,1.00654,1.00762,1.00497
road-euroroad,road,1174,1417,1.20187,1.18143,1.20187,1.17547,1.19676,1.17036,1.19676,1.17036,1.28194,1.23254,1.28194,1.20784,1.21210,1.20272,1.21210,1.19080
road-luxembourg-osm,road,114599,119666,1.00401,1.00401,1.00401,1.00401,1.00390,1.00388,1.00390,1.00387,1.03828,1.01709,1.03828,1.0112,1.01071,1.00944,1.01071,1.00804
road-minnesota,road,2642,3303,1.12491,1.12301,1.12491,1.12301,1.12415,1.11923,1.12415,1.11923,1.24943,1.19228,1.24943,1.17222,1.15632,1.15291,1.15632,1.14418
road-roadNet-PA,road,1087562,1541514,1.00438,1.00414,1.00438,1.00414,1.00411,1.00398,1.00411,1.00398,1.02416,1.01112,1.02416,1.0108,1.01868,1.01608,1.01868,1.01113
